Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-000466,2/12/2019,11:55:00 AM,VARI HALL,Arson,University Property,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be smoke from a fire that was intentionally started by a known non- community member. No injuries or damage were reported.
2019-000469,2/13/2019,9:48:00 AM,STEACIE SCIENCE AND ENGINEERING BLDG,"Theft, Under $5000",University Property,Complainant reported the theft of a computer tablet left unattended in the library.
2019-000470,2/13/2019,10:18:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,Unauthorized Use of Computers,Workstation,Complainant reported several second floor offices were found insecure and computer workstations turned on. There was no evidence of forced entry.
2019-000473,2/13/2019,11:55:00 AM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,Security responded to a report of damaged HVAC equipment inside a lecture hall. The Work Control Centre was notified.
2019-000474,2/13/2019,12:01:00 PM,THE CHIMNEYSTACK ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision between a private vehicle and a University vehicle. No injuries were reported. Both vehicle’s sustained damage.
2019-000475,2/13/2019,12:22:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual was identified and escorted off campus.
2019-000488,2/13/2019,12:50:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,A community member reported being approached and followed by an unknown male while in York Lanes. A description of the male was obtained.
2019-000480,2/13/2019,12:53:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,Complainant reported two lockers had been forcibly opened. The Work Control Centre was notified.
2019-000476,2/13/2019,2:11:00 PM,STONG RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing chest pain. EMS transported the individual to hospital for further medical care.
2019-000477,2/13/2019,2:36:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-000478,2/13/2019,2:54:00 PM,SCOTT LIBRARY,Harassment,General,A community member reported being harassed by an unknown male. A description of the male was obtained.
2019-000479,2/13/2019,3:02:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-000482,2/13/2019,5:22:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2019-000483,2/13/2019,7:28:00 PM,CENTRAL SQUARE,Damage,University Property,A Security patrol discovered a damaged pane of glass in a perimeter door. The cause of the damage was not determined. The Work Control Centre was notified.
2019-000485,2/13/2019,8:13:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-000484,2/13/2019,8:25:00 PM,SECOND STUDENT CENTRE,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the first floor.
2019-000486,2/14/2019,12:10:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of an individual loitering in a classroom. The individual was identified and directed to leave the building.
2019-000489,2/14/2019,12:04:00 PM,FARQUHARSON BUILDING,Hazardous Substance,Gas leak,"Security, York Fire Prevention and Toronto Fire responded to a report of a natural gas odour in the building. The cause of the odour was determined to be equipment malfunction. A repair company attended for repairs. Toronto Fire determined all was in order and the building resumed normal operations. No injuries were reported."
2019-000491,2/14/2019,5:30:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-000493,2/14/2019,7:39:00 PM,VARI HALL,Assault,Causing Bodily Harm,"Security, Toronto Police and EMS responded to a report that a community member had been assaulted by an unknown male. First aid was provided on scene. Further medical care was declined. A description of the suspect was obtained."
2019-000494,2/14/2019,7:50:00 PM,SCHULICH SCHOOL OF BUSINESS,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member became ill after consuming alcohol. EMS transported the individual to hospital for further medical care.
2019-000495,2/14/2019,9:32:00 PM,STONG RESIDENCE,Information,Health & Safety Concern,Security and Residence Life staff responded to check on the well-being of a community member. The community member was located and all was reported to be in order.
2019-000496,2/15/2019,2:25:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of a disturbance inside an apartment. Two community members were involved in a domestic dispute. They were identified and cautioned by Police. No injuries were reported.
2019-000497,2/15/2019,7:53:00 AM,FINE ARTS ROAD,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report of a slip and fall injury that occurred on the walkway north of Seneca College. A community member was treated on scene and transported by EMS to hospital for further medical care.
2019-000498,2/15/2019,8:55:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,Complainant reported classroom A/V equipment had been tampered with.
2019-000500,2/15/2019,10:42:00 AM,GOLDFARB CENTRE FOR FINE ARTS,Noise Complaint,Source not Located,"Security responded to a noise complaint regarding a group of individuals loitering in a stairwell. Upon arrival, all was quiet and appeared in order."
2019-000499,2/15/2019,10:58:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing chest pain. EMS assessed the individual on scene. Further medical care was declined.
2019-000501,2/15/2019,12:58:00 PM,EXECUTIVE LEARNING CENTRE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing chest pain. EMS transported the individual to hospital for further medical care."
2019-000502,2/15/2019,1:40:00 PM,LIFE SCIENCES BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended in a lab.
2019-000503,2/15/2019,2:35:00 PM,VANIER RESIDENCE,"Theft, Under $5000",Private Property,A community member reported the theft of a computer mouse left unattended in a common room.
2019-000504,2/15/2019,2:56:00 PM,COMPLEX #1 CORE BUILDING,Fire Alarm,Smoking Prohibited Area,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be individuals smoking in the building."
2019-000505,2/15/2019,3:31:00 PM,ACCOLADE EAST,"Theft, Under $5000",University Property,Complainant reported the theft of an examination booklet by an unknown male. A description of the suspect was obtained.
2019-000507,2/15/2019,3:40:00 PM,ACCOLADE EAST,Disorderly Behaviour,Unauthorized Activities,Complainant reported a community member acted in a disorderly manner during an exam session.
2019-000506,2/15/2019,3:45:00 PM,VARI HALL,Emergency Medical,Existing Medical Condition,Security responded to a report that a community member was experiencing symptoms of an existing medical condition. First aid was provided on scene. Further medical care was declined.
2019-000511,2/15/2019,4:45:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",Private Property,Complainant reported several election posters had been removed without authorization.
2019-000508,2/15/2019,4:58:00 PM,YORK LANES RETAIL,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a restaurant.
2019-000509,2/15/2019,5:30:00 PM,TATHAM HALL RESIDENCE,Fire Alarm,Cooking Related,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related.
2019-000510,2/15/2019,6:13:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of cash left unattended in a classroom.
2019-000512,2/15/2019,7:50:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-000513,2/15/2019,8:23:00 PM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,Emergency Medical,Injury,Security and EMS responded to a report that a community member sustained an injury in the Field House. EMS transported the individual to hospital for further medical care.
2019-000514,2/15/2019,11:17:00 PM,IAN MAC BLVD and THE CHIMNEYSTACK ROAD,Information,General Complaint - Concern,Security responded to a report that an off campus business posted signage on campus without authorization. The signs were removed.
2019-000516,2/16/2019,6:36:00 AM,STONG RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life Staff and EMS responded to a report of an intoxicated and unresponsive community member. EMS transported the individual to hospital for further medical care."
2019-000517,2/16/2019,8:44:00 AM,CALUMET RESIDENCE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2019-000518,2/16/2019,3:26:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000519,2/16/2019,7:21:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to a CCTV camera located on the first floor.
2019-000521,2/16/2019,10:44:00 PM,VANIER RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti inside a stairwell. The Work Control Centre was notified
2019-000523,2/17/2019,1:19:00 PM,ATKINSON COLLEGE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-000524,2/17/2019,4:44:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),"Mischief, Under $5000",University Property,Security responded to a report of a damaged parking gate arm. Parking Services was notified.
